"Player Name","Team","Position","KMeans","DBSCAN"
"A. Lagumdzija","TUR","OPPOSITE SPIKER","2","1"
"A. Nikolov","BUL","OUTSIDE HITTER","2","1"
"Adamczyk","POL","MIDDLE BLOCKER","3","1"
"Adriano","BRA","OUTSIDE HITTER","3","1"
"Ahyi","NED","OPPOSITE SPIKER","2","1"
"Alan","BRA","OPPOSITE SPIKER","2","1"
"Alexandre","BRA","LIBERO","3","1"
"Alonso","CUB","MIDDLE BLOCKER","3","1"
"Amin","IRI","OPPOSITE SPIKER","2","1"
"Antov","BUL","OPPOSITE SPIKER","2","1"
"Anzani","ITA","MIDDLE BLOCKER","3","1"
"Ariakhah","IRI","OPPOSITE SPIKER","3","1"
"Arman","IRI","LIBERO","4","1"
"Armoa Morel","ARG","OUTSIDE HITTER","3","1"
"Arshia","IRI","SETTER","1","1"
"Arthur","BRA","OUTSIDE HITTER","3","1"
"Asparuhov","BUL","OUTSIDE HITTER","2","1"
"Atanasov","BUL","OUTSIDE HITTER","3","1"
"B. Bayraktar","TUR","LIBERO","4","1"
"Bak","NED","OUTSIDE HITTER","3","1"
"Balaso","ITA","LIBERO","4","1"
"Bayram","TUR","OUTSIDE HITTER","3","1"
"Bedirhan","TUR","MIDDLE BLOCKER","2","1"
"Bednorz","POL","OUTSIDE HITTER","3","1"
"Berkhout","NED","SETTER","1","1"
"Bisset","CUB","OPPOSITE SPIKER","3","1"
"Boiko","UKR","LIBERO","4","1"
"Boninfante","ITA","SETTER","3","1"
"Bottolo","ITA","OUTSIDE HITTER","3","1"
"Bovolenta","ITA","OPPOSITE SPIKER","3","1"
"Bozhilov","BUL","LIBERO","4","1"
"Bołądź","POL","OPPOSITE SPIKER","3","1"
"Brand","GER","OUTSIDE HITTER","2","1"
"Bračko","SLO","OUTSIDE HITTER","3","1"
"Brborić","SRB","OUTSIDE HITTER","3","1"
"Briggs","USA","LIBERO","4","1"
"Brizard","FRA","SETTER","1","0"
"Burggräf","GER","SETTER","3","1"
"Böhme","GER","OPPOSITE SPIKER","3","1"
"Camino","CUB","LIBERO","3","1"
"Can Koç","TUR","OPPOSITE SPIKER","3","1"
"Caneschi","ITA","MIDDLE BLOCKER","3","1"
"Canham","CAN","OPPOSITE SPIKER","3","1"
"Carle","FRA","OUTSIDE HITTER","3","1"
"Chaboissant","FRA","SETTER","3","1"
"Champlin","USA","OUTSIDE HITTER","3","1"
"Chelenyak","UKR","MIDDLE BLOCKER","3","1"
"Chinenyeze","FRA","MIDDLE BLOCKER","3","1"
"Chizoba","BRA","OPPOSITE SPIKER","3","1"
"Clevenot","FRA","OUTSIDE HITTER","2","1"
"Concepcion","CUB","MIDDLE BLOCKER","2","1"
"Conde","ARG","OUTSIDE HITTER","3","1"
"Cortesia","ITA","MIDDLE BLOCKER","3","1"
"Currie","CAN","LIBERO","4","1"
"Czunkiewicz","POL","LIBERO","4","1"
"D. Dimitrov","BUL","OPPOSITE SPIKER","3","1"
"D. Kolev","BUL","LIBERO","4","1"
"Dagostino","USA","LIBERO","4","1"
"Danani","ARG","LIBERO","4","1"
"Daneshdoust","IRI","OUTSIDE HITTER","3","1"
"Darlan","BRA","OPPOSITE SPIKER","2","1"
